     res       record                  opponent                                method  round                 location
0    win  30 - 11 - 1        jordanas poskaitis                  submission (leglock)  n / a      vilnius , lithuania
1    win  29 - 11 - 1              petrov kolev                submission (heel hook)      1                lithuania
2   loss  28 - 11 - 1           quinton jackson                  submission (strikes)      1         yokohama , japan
3    win  28 - 10 - 1           katsuhisa fujii         submission (guillotine choke)      1            tokyo , japan
4   draw  27 - 10 - 1        hiromitsu kanehara                                  draw      3         yokohama , japan
5   loss      27 - 10             bobby hoffman                 tko (corner stoppage)      2            tokyo , japan
6    win       27 - 9        borislav jeliazkov                   submission (armbar)      2         yokohama , japan
7    win       26 - 9        kestutis smirnovas            submission (achilles lock)      1                lithuania
8    win       25 - 9            martin lazarev               decision (4 - 0 points)      1    ekaterinburg , russia
9   loss       24 - 9          tsuyoshi kohsaka                          ko (punches)      2            osaka , japan
10   win       24 - 8     valerijus golubovskis                 submission (arm lock)  n / a                lithuania
11   win       23 - 8         bakouri gogitidze               submission (ankle lock)      1                   russia
12   win       22 - 8              emil kristev            submission (achilles lock)      1            tula , russia
13   win       21 - 8               lee hasdell                              decision      3    ekaterinburg , russia
14  loss       20 - 8             renato sobral                   submission (armbar)      3            tokyo , japan
15   win       20 - 7               brad kohler                   submission (armbar)      1            tokyo , japan
16   win       19 - 7            justin mccully  technical submission (achilles lock)      1            tokyo , japan
17  loss       18 - 7         bakouri gogitidze                            submission      1  georgia , united states
18   win       18 - 6              joop kasteel            submission (achilles lock)      1                    japan
19   win       17 - 6             randy couture                   submission (kimura)      1            tokyo , japan
20   win       16 - 6           masayuki naruse                            submission      1            tokyo , japan
21  loss       15 - 6            kiyoshi tamura                            submission      1            tokyo , japan
22   win       15 - 5                  volk han                            submission      1          fukuoka , japan
23   win       14 - 5          tsuyoshi kohsaka                            submission      1            osaka , japan
24   win       13 - 5           masayuki naruse               submission (ankle lock)      1            tokyo , japan
25  loss       12 - 5          tsuyoshi kohsaka                            submission      1            tokyo , japan
26  loss       12 - 4            kiyoshi tamura                            submission      1           nagoya , japan
27  loss       12 - 3              adilson lima                   submission (armbar)      1            tokyo , japan
28   win       12 - 2  sidney goncalves freitas          submission (chin in the eye)      1                    japan
29  loss       11 - 2            carlos barreto         submission (rear naked choke)      2                    japan
30   win       11 - 1             wataru sakata                            submission      1            tokyo , japan
31  loss       10 - 1            ricardo morais         submission (rear naked choke)      1          moscow , russia
32   win       10 - 0       achmed sagidgusenov            submission (achilles lock)      1          moscow , russia
33   win        9 - 0          igor vovchanchyn          submission (chin in the eye)      1          moscow , russia
34   win        8 - 0            andrei besedin         submission (guillotine choke)      1          moscow , russia
35   win        7 - 0            zagil eribinov                   submission (armbar)      1          moscow , russia
36   win        6 - 0             nikolai zouev                            submission      1          fukuoka , japan
37   win        5 - 0            victor yerohin         submission (rear naked choke)      1          moscow , russia
38   win        4 - 0            leonid efremov            submission (achilles lock)      1          moscow , russia
39   win        3 - 0          vadim shevchenko            submission (achilles lock)      1          moscow , russia
40   win        2 - 0             maxim tarasov            submission (achilles lock)      1          moscow , russia
41   win        1 - 0             piotr tjernov            submission (achilles lock)      1          moscow , russia
